parameter,value,se_sa,rse_sa
Tk0_pop,0.890296069946382,0.0858009870692876,9.63735435499058
V_pop,0.841493423234289,0.0842991931095185,10.017807719223
k_pop,0.301545261655992,0.0117538390173389,3.89786891453393
k12_pop,0.122281267831241,0.0120325149868283,9.8400312658144
k21_pop,0.102553666542429,0.0144978905867913,14.1368817669655
omega_Tk0,0.385660106777042,0.0798507629704201,20.7049579583774
omega_V,0.433178233997836,0.0710771288064884,16.4082872194459
omega_k,0.127112793548122,0.0321173345687868,25.2667994088477
omega_k12,0.297046827120799,0.0909011733131877,30.6016307914379
omega_k21,0.451455716250979,0.136617154966452,30.2614741709245
a,2.22044604925031e-16,nan,nan
b,0.155930812973229,0.00815984548755167,5.23299105030165
