Tk0_pop,1,-0.0459,0.143,0.123,0.0678,-0.142,-0.0128,-0.0271,-0.0657,0.0148,nan,-0.00473
V_pop,-0.0459,1,-0.151,-0.113,-0.0668,-0.00115,0.0211,0.0345,0.0654,-0.0253,nan,0.00683
k_pop,0.143,-0.151,1,0.307,0.304,-0.0107,-0.0509,-0.163,-0.239,0.0205,nan,0.0496
k12_pop,0.123,-0.113,0.307,1,0.29,-0.0167,-0.0601,-0.124,-0.352,0.293,nan,0.0534
k21_pop,0.0678,-0.0668,0.304,0.29,1,-0.00834,-0.0439,-0.156,-0.304,0.217,nan,0.0428
omega_Tk0,-0.142,-0.00115,-0.0107,-0.0167,-0.00834,1,-0.0233,-0.0681,0.0108,-0.00684,nan,0.00667
omega_V,-0.0128,0.0211,-0.0509,-0.0601,-0.0439,-0.0233,1,0.143,0.107,-0.0168,nan,-0.0833
omega_k,-0.0271,0.0345,-0.163,-0.124,-0.156,-0.0681,0.143,1,0.209,-0.0185,nan,-0.24
omega_k12,-0.0657,0.0654,-0.239,-0.352,-0.304,0.0108,0.107,0.209,1,-0.299,nan,-0.15
omega_k21,0.0148,-0.0253,0.0205,0.293,0.217,-0.00684,-0.0168,-0.0185,-0.299,1,nan,-0.0658
a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
b,-0.00473,0.00683,0.0496,0.0534,0.0428,0.00667,-0.0833,-0.24,-0.15,-0.0658,nan,1
