Tk0_pop,1,-0.0482,0.157,0.0757,0.0334,0.126,-0.153,-0.00774,-0.0142,-0.0405,nan,-0.00612
V_pop,-0.0482,1,-0.147,-0.0625,-0.0191,-0.103,0.00716,-0.00159,0.00276,0.0325,nan,0.000917
k_pop,0.157,-0.147,1,0.152,0.0606,0.527,-0.0401,-0.00587,0.0151,-0.0683,nan,0.0174
k12_pop,0.0757,-0.0625,0.152,1,-0.683,0.123,-0.0103,0.0516,0.0593,-0.0368,nan,-0.0132
beta_k12_SEX_M,0.0334,-0.0191,0.0606,-0.683,1,0.0534,-0.028,-0.0849,-0.103,-0.172,nan,0.0922
k21_pop,0.126,-0.103,0.527,0.123,0.0534,1,-0.052,0.00432,0.0545,-0.0255,nan,-0.0126
omega_Tk0,-0.153,0.00716,-0.0401,-0.0103,-0.028,-0.052,1,-0.0115,-0.0386,0.0535,nan,-0.0136
omega_V,-0.00774,-0.00159,-0.00587,0.0516,-0.0849,0.00432,-0.0115,1,0.133,0.0192,nan,-0.0552
omega_k,-0.0142,0.00276,0.0151,0.0593,-0.103,0.0545,-0.0386,0.133,1,0.0895,nan,-0.147
omega_k12,-0.0405,0.0325,-0.0683,-0.0368,-0.172,-0.0255,0.0535,0.0192,0.0895,1,nan,-0.178
a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
b,-0.00612,0.000917,0.0174,-0.0132,0.0922,-0.0126,-0.0136,-0.0552,-0.147,-0.178,nan,1
