Tk0_pop,1,-0.0422,-0.0124,0.158,0.0702,0.0504,0.119,-0.154,0.00154,-0.0058,-0.0501,nan,-0.0203
V_pop,-0.0422,1,-0.733,-0.151,-0.113,0.0547,-0.0957,0.00448,0.0303,-0.0945,0.00424,nan,0.0562
beta_V_SEX_M,-0.0124,-0.733,1,-0.011,0.0701,-0.119,-0.0111,0.00529,-0.00589,0.115,0.0409,nan,-0.0524
k_pop,0.158,-0.151,-0.011,1,0.105,0.113,0.547,-0.0389,-0.0135,0.00483,-0.0574,nan,-0.0383
k12_pop,0.0702,-0.113,0.0701,0.105,1,-0.652,0.0356,-0.0151,0.0028,0.0596,-0.112,nan,0.000586
beta_k12_SEX_M,0.0504,0.0547,-0.119,0.113,-0.652,1,0.113,-0.0331,-0.0162,-0.0964,-0.167,nan,0.0864
k21_pop,0.119,-0.0957,-0.0111,0.547,0.0356,0.113,1,-0.0446,0.0037,0.0869,0.00987,nan,-0.0876
omega_Tk0,-0.154,0.00448,0.00529,-0.0389,-0.0151,-0.0331,-0.0446,1,-0.0272,-0.0248,0.0635,nan,-0.0176
omega_V,0.00154,0.0303,-0.00589,-0.0135,0.0028,-0.0162,0.0037,-0.0272,1,0.0828,-0.00459,nan,-0.0453
omega_k,-0.0058,-0.0945,0.115,0.00483,0.0596,-0.0964,0.0869,-0.0248,0.0828,1,0.0875,nan,-0.142
omega_k12,-0.0501,0.00424,0.0409,-0.0574,-0.112,-0.167,0.00987,0.0635,-0.00459,0.0875,1,nan,-0.228
a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
b,-0.0203,0.0562,-0.0524,-0.0383,0.000586,0.0864,-0.0876,-0.0176,-0.0453,-0.142,-0.228,nan,1
