parameter,value,se_sa,rse_sa
Tk0_pop,0.859971808029656,0.0847076725799972,9.85005226788505
V_pop,0.587260905814647,0.0563257265055498,9.59126104732187
beta_V_SEX_M,0.720312415820809,0.128050024886139,17.7770120400082
k_pop,0.290602605515007,0.0111744470468575,3.84526732891954
k12_pop,0.151092646610986,0.0148379969029126,9.82046263384053
beta_k12_SEX_M,-0.594990917584176,0.141202780516919,23.7319220081947
k21_pop,0.0843071614760928,0.00831751361309898,9.86572607530809
omega_Tk0,0.387748415983767,0.0789665277467023,20.3654030529961
omega_V,0.26877594791336,0.048288428878518,17.9660528605349
omega_k,0.118227875117821,0.0249580047437941,21.110084841601
omega_k12,0.23513053617042,0.0667935695166636,28.4070162066284
a,2.22044604925031e-16,nan,nan
b,0.164762958548125,0.00835259883457917,5.06946397915007
