Tk0_pop,1,-0.0332,-0.00755,0.0899,0.00379,0.0298,-0.0187,0.0286,0.0891,-0.177,-0.00949,-0.0139,-0.00743,nan,-0.0269
V_pop,-0.0332,1,-0.742,-0.239,0.171,-0.0244,0.00171,0.0696,-0.119,-0.0156,0.0157,0.0102,0.016,nan,0.0281
beta_V_SEX_M,-0.00755,-0.742,1,0.148,-0.198,0.0092,0.00611,-0.124,0.0311,0.0127,0.00767,0.00795,0.0222,nan,-0.0167
k_pop,0.0899,-0.239,0.148,1,-0.725,0.0288,0.00621,-0.0676,0.478,0.0153,-0.0254,-0.0613,-0.0594,nan,-0.0236
beta_k_SEX_M,0.00379,0.171,-0.198,-0.725,1,-0.0142,-0.00934,0.173,-0.158,-0.0212,0.0016,-0.00487,-0.00874,nan,0.0267
k12_pop,0.0298,-0.0244,0.0092,0.0288,-0.0142,1,-0.988,0.318,-0.0277,-0.0549,0.00531,-0.0631,-0.049,nan,0.0249
beta_k12_WEIGHT,-0.0187,0.00171,0.00611,0.00621,-0.00934,-0.988,1,-0.414,0.0495,0.0557,-0.00696,0.061,0.0397,nan,-0.0255
beta_k12_SEX_M,0.0286,0.0696,-0.124,-0.0676,0.173,0.318,-0.414,1,0.024,-0.0128,-0.0055,-0.0348,-0.257,nan,0.074
k21_pop,0.0891,-0.119,0.0311,0.478,-0.158,-0.0277,0.0495,0.024,1,-0.00434,-0.0189,-0.0245,-0.0609,nan,-0.0366
omega_Tk0,-0.177,-0.0156,0.0127,0.0153,-0.0212,-0.0549,0.0557,-0.0128,-0.00434,1,-0.0169,-0.0424,-0.0512,nan,0.0224
omega_V,-0.00949,0.0157,0.00767,-0.0254,0.0016,0.00531,-0.00696,-0.0055,-0.0189,-0.0169,1,0.0994,-0.00394,nan,-0.0472
omega_k,-0.0139,0.0102,0.00795,-0.0613,-0.00487,-0.0631,0.061,-0.0348,-0.0245,-0.0424,0.0994,1,0.0624,nan,-0.127
omega_k12,-0.00743,0.016,0.0222,-0.0594,-0.00874,-0.049,0.0397,-0.257,-0.0609,-0.0512,-0.00394,0.0624,1,nan,-0.185
a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
b,-0.0269,0.0281,-0.0167,-0.0236,0.0267,0.0249,-0.0255,0.074,-0.0366,0.0224,-0.0472,-0.127,-0.185,nan,1
