Tk0_pop,0.011,-0.000331,-0.0001,0.000473,2.35e-05,0.00172,-1.66e-05,0.000422,0.000849,-0.0016,-4.7e-05,-3.41e-05,-5.65e-05,nan,-2.26e-05
V_pop,-0.000331,0.00905,-0.00894,-0.00114,0.000961,-0.00128,1.38e-06,0.000933,-0.00103,-0.000127,7.06e-05,2.28e-05,0.00011,nan,2.14e-05
beta_V_SEX_M,-0.0001,-0.00894,0.0161,0.000941,-0.00148,0.000642,6.54e-06,-0.00222,0.000358,0.000138,4.59e-05,2.36e-05,0.000204,nan,-1.7e-05
k_pop,0.000473,-0.00114,0.000941,0.00251,-0.00214,0.000795,2.63e-06,-0.000477,0.00218,6.56e-05,-6.01e-05,-7.19e-05,-0.000216,nan,-9.48e-06
beta_k_SEX_M,2.35e-05,0.000961,-0.00148,-0.00214,0.00348,-0.00046,-4.65e-06,0.00143,-0.000844,-0.000107,4.46e-06,-6.72e-06,-3.74e-05,nan,1.26e-05
k12_pop,0.00172,-0.00128,0.000642,0.000795,-0.00046,0.304,-0.0046,0.0246,-0.00139,-0.0026,0.000138,-0.000814,-0.00196,nan,0.00011
beta_k12_WEIGHT,-1.66e-05,1.38e-06,6.54e-06,2.63e-06,-4.65e-06,-0.0046,7.14e-05,-0.000493,3.8e-05,4.04e-05,-2.77e-06,1.21e-05,2.43e-05,nan,-1.72e-06
beta_k12_SEX_M,0.000422,0.000933,-0.00222,-0.000477,0.00143,0.0246,-0.000493,0.0198,0.000307,-0.000155,-3.66e-05,-0.000115,-0.00262,nan,8.35e-05
k21_pop,0.000849,-0.00103,0.000358,0.00218,-0.000844,-0.00139,3.8e-05,0.000307,0.00825,-3.39e-05,-8.1e-05,-5.2e-05,-0.000401,nan,-2.66e-05
omega_Tk0,-0.0016,-0.000127,0.000138,6.56e-05,-0.000107,-0.0026,4.04e-05,-0.000155,-3.39e-05,0.00737,-6.87e-05,-8.52e-05,-0.000319,nan,1.54e-05
omega_V,-4.7e-05,7.06e-05,4.59e-05,-6.01e-05,4.46e-06,0.000138,-2.77e-06,-3.66e-05,-8.1e-05,-6.87e-05,0.00223,0.00011,-1.35e-05,nan,-1.79e-05
omega_k,-3.41e-05,2.28e-05,2.36e-05,-7.19e-05,-6.72e-06,-0.000814,1.21e-05,-0.000115,-5.2e-05,-8.52e-05,0.00011,0.000548,0.000106,nan,-2.38e-05
omega_k12,-5.65e-05,0.00011,0.000204,-0.000216,-3.74e-05,-0.00196,2.43e-05,-0.00262,-0.000401,-0.000319,-1.35e-05,0.000106,0.00527,nan,-0.000108
a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
b,-2.26e-05,2.14e-05,-1.7e-05,-9.48e-06,1.26e-05,0.00011,-1.72e-06,8.35e-05,-2.66e-05,1.54e-05,-1.79e-05,-2.38e-05,-0.000108,nan,6.41e-05
