parameter,value,se_sa,rse_sa
Tk0_pop,0.856972360032635,0.0898988849907155,10.4902899070504
V_pop,0.560272807289383,0.0532872858549918,9.51095344298383
beta_V_SEX_M,0.788323892025428,0.126783401531022,16.0826536926694
k_pop,0.320544141143945,0.0160671756757733,5.01246899052138
beta_k_SEX_M,-0.153805302201408,0.058957827577797,38.3327666432408
k12_pop,0.0308420185330774,0.0169940342116278,55.1002658707375
beta_k12_SEX_M,-0.845541741724264,0.140832396667353,16.6558774946062
beta_k12_WEIGHT,0.0254163672290383,0.00844693506636648,33.2342344216518
k21_pop,0.0878888843724293,0.00798103104348387,9.08081960588354
omega_Tk0,0.416823214408858,0.0858367606637127,20.5930854368193
omega_V,0.263453441405583,0.047220313915557,17.9235897104346
omega_k,0.102059737632751,0.0234077210976284,22.9353138079368
omega_k12,0.196136956465113,0.0725863854185736,37.0080104875516
a,2.22044604925031e-16,nan,nan
b,0.162678428213834,0.00800789533257941,4.92253055337699
