Tk0_pop,1,-0.994,-0.0141,0.0103,0.0612,-0.0406,0.114,-0.107,0.013,0.0532,-0.162,-0.0102,-0.0312,0.00131,nan,0.00133
beta_Tk0_WEIGHT,-0.994,1,0.0105,-0.0117,-0.0503,0.0415,-0.11,0.105,-0.00761,-0.0414,0.142,0.00947,0.0307,-0.0054,nan,-0.00377
V_pop,-0.0141,0.0105,1,-0.738,-0.22,0.152,-0.0353,0.0121,0.0647,-0.114,-0.0172,0.0345,-0.0191,0.0173,nan,0.0314
beta_V_SEX_M,0.0103,-0.0117,-0.738,1,0.126,-0.184,0.00515,0.00991,-0.133,0.0088,0.0178,-0.0155,0.0143,0.0163,nan,-0.0165
k_pop,0.0612,-0.0503,-0.22,0.126,1,-0.705,0.0807,-0.0452,-0.0376,0.473,0.00611,-0.0103,-0.0307,-0.0458,nan,-0.0304
beta_k_SEX_M,-0.0406,0.0415,0.152,-0.184,-0.705,1,-0.0229,-0.00016,0.178,-0.116,-0.0216,0.000146,0.0123,0.00762,nan,0.0211
k12_pop,0.114,-0.11,-0.0353,0.00515,0.0807,-0.0229,1,-0.987,0.321,0.0596,-0.0407,0.0167,-0.0278,-0.0289,nan,0.0124
beta_k12_WEIGHT,-0.107,0.105,0.0121,0.00991,-0.0452,-0.00016,-0.987,1,-0.418,-0.0381,0.0424,-0.0178,0.0296,0.00532,nan,-0.0119
beta_k12_SEX_M,0.013,-0.00761,0.0647,-0.133,-0.0376,0.178,0.321,-0.418,1,0.0885,-0.0409,0.000758,-0.00819,-0.117,nan,0.0494
k21_pop,0.0532,-0.0414,-0.114,0.0088,0.473,-0.116,0.0596,-0.0381,0.0885,1,-0.0241,-0.0056,0.048,-0.00772,nan,-0.0537
omega_Tk0,-0.162,0.142,-0.0172,0.0178,0.00611,-0.0216,-0.0407,0.0424,-0.0409,-0.0241,1,-0.0105,-0.0397,-0.00978,nan,-0.00587
omega_V,-0.0102,0.00947,0.0345,-0.0155,-0.0103,0.000146,0.0167,-0.0178,0.000758,-0.0056,-0.0105,1,0.0762,0.00416,nan,-0.0452
omega_k,-0.0312,0.0307,-0.0191,0.0143,-0.0307,0.0123,-0.0278,0.0296,-0.00819,0.048,-0.0397,0.0762,1,0.0379,nan,-0.11
omega_k12,0.00131,-0.0054,0.0173,0.0163,-0.0458,0.00762,-0.0289,0.00532,-0.117,-0.00772,-0.00978,0.00416,0.0379,1,nan,-0.19
a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
b,0.00133,-0.00377,0.0314,-0.0165,-0.0304,0.0211,0.0124,-0.0119,0.0494,-0.0537,-0.00587,-0.0452,-0.11,-0.19,nan,1
