Tk0_pop,0.729,-0.0105,-0.00116,0.00113,0.00265,-0.00207,0.0495,-0.000709,0.00143,0.00426,-0.0105,-0.000419,-0.00062,7.47e-05,nan,9.1e-06
beta_Tk0_WEIGHT,-0.0105,0.000153,1.24e-05,-1.86e-05,-3.15e-05,3.07e-05,-0.000693,1e-05,-1.21e-05,-4.81e-05,0.000134,5.64e-06,8.86e-06,-4.46e-06,nan,-3.72e-07
V_pop,-0.00116,1.24e-05,0.00923,-0.0091,-0.00107,0.000877,-0.00173,9.02e-06,0.000801,-0.00103,-0.000126,0.00016,-4.27e-05,0.000111,nan,2.41e-05
beta_V_SEX_M,0.00113,-1.86e-05,-0.0091,0.0165,0.000817,-0.00141,0.000336,9.87e-06,-0.0022,0.000106,0.000174,-9.61e-05,4.29e-05,0.00014,nan,-1.69e-05
k_pop,0.00265,-3.15e-05,-0.00107,0.000817,0.00257,-0.00214,0.00208,-1.78e-05,-0.000246,0.00225,2.36e-05,-2.51e-05,-3.62e-05,-0.000155,nan,-1.23e-05
beta_k_SEX_M,-0.00207,3.07e-05,0.000877,-0.00141,-0.00214,0.00359,-0.000699,-7.45e-08,0.00138,-0.000651,-9.88e-05,4.21e-07,1.72e-05,3.05e-05,nan,1.01e-05
k12_pop,0.0495,-0.000693,-0.00173,0.000336,0.00208,-0.000699,0.258,-0.0039,0.021,0.00285,-0.00158,0.000409,-0.000329,-0.000982,nan,5.03e-05
beta_k12_WEIGHT,-0.000709,1e-05,9.02e-06,9.87e-06,-1.78e-05,-7.45e-08,-0.0039,6.03e-05,-0.000419,-2.78e-05,2.51e-05,-6.65e-06,5.37e-06,2.76e-06,nan,-7.38e-07
beta_k12_SEX_M,0.00143,-1.21e-05,0.000801,-0.0022,-0.000246,0.00138,0.021,-0.000419,0.0166,0.00107,-0.000402,4.71e-06,-2.46e-05,-0.00101,nan,5.1e-05
k21_pop,0.00426,-4.81e-05,-0.00103,0.000106,0.00225,-0.000651,0.00285,-2.78e-05,0.00107,0.00883,-0.000173,-2.54e-05,0.000105,-4.84e-05,nan,-4.03e-05
omega_Tk0,-0.0105,0.000134,-0.000126,0.000174,2.36e-05,-9.88e-05,-0.00158,2.51e-05,-0.000402,-0.000173,0.00582,-3.85e-05,-7.06e-05,-4.98e-05,nan,-3.58e-06
omega_V,-0.000419,5.64e-06,0.00016,-9.61e-05,-2.51e-05,4.21e-07,0.000409,-6.65e-06,4.71e-06,-2.54e-05,-3.85e-05,0.00232,8.57e-05,1.34e-05,nan,-1.74e-05
omega_k,-0.00062,8.86e-06,-4.27e-05,4.29e-05,-3.62e-05,1.72e-05,-0.000329,5.37e-06,-2.46e-05,0.000105,-7.06e-05,8.57e-05,0.000544,5.89e-05,nan,-2.05e-05
omega_k12,7.47e-05,-4.46e-06,0.000111,0.00014,-0.000155,3.05e-05,-0.000982,2.76e-06,-0.00101,-4.84e-05,-4.98e-05,1.34e-05,5.89e-05,0.00445,nan,-0.000102
a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
b,9.1e-06,-3.72e-07,2.41e-05,-1.69e-05,-1.23e-05,1.01e-05,5.03e-05,-7.38e-07,5.1e-05,-4.03e-05,-3.58e-06,-1.74e-05,-2.05e-05,-0.000102,nan,6.39e-05
