parameter,value,se_sa,rse_sa
Tk0_pop,0.168071270952016,0.143456283690911,85.3544349836371
beta_Tk0_WEIGHT,0.0240747982378116,0.0123530116961907,51.3109666555344
V_pop,0.564751842703827,0.0542502807401727,9.60603873029294
beta_V_SEX_M,0.773832948388395,0.128279302535635,16.5771311240744
k_pop,0.319255841822207,0.0161697288446427,5.06481847046284
beta_k_SEX_M,-0.144474572032004,0.0599377120831288,41.4866860237878
k12_pop,0.0293025760160832,0.0148915594116743,50.8199668298815
beta_k12_SEX_M,-0.801528431775433,0.129008028629932,16.0952529586719
beta_k12_WEIGHT,0.0260209283861208,0.00776606132480775,29.8454429049121
k21_pop,0.0886927661236086,0.00833491316218073,9.39751179996416
omega_Tk0,0.367771741802276,0.0762833307963937,20.7420315716931
omega_V,0.267532833896317,0.0482150794804103,18.0221166793666
omega_k,0.10609661658777,0.0233266032225766,21.9861895438291
omega_k12,0.173088875856374,0.0667417514027184,38.5592378900765
a,2.22044604925031e-16,nan,nan
b,0.163155569699919,0.00799502518085829,4.90024655337419
