Tk0_pop,1,0.256,0.0142,0.12,-0.0216,0.0543,-0.0379,0.0312,0.104,-0.162,-0.00659,0.0117,-0.0203,-0.0572,nan,-0.00597
V_pop,0.256,1,-0.716,-0.302,0.24,-0.0601,0.0251,0.128,-0.158,0.0182,-0.0477,-0.0302,0.00942,0.0231,nan,0.0201
beta_V_SEX_M,0.0142,-0.716,1,0.218,-0.282,0.0486,-0.0208,-0.202,0.0664,-0.0364,0.0806,0.0651,0.00995,0.04,nan,-0.0183
k_pop,0.12,-0.302,0.218,1,-0.736,0.0548,-0.00859,-0.102,0.508,0.0148,-0.0369,0.0082,-0.079,-0.0982,nan,-0.000591
beta_k_SEX_M,-0.0216,0.24,-0.282,-0.736,1,-0.0393,0.00825,0.186,-0.194,-0.0135,0.00205,-0.0115,0.00994,0.0183,nan,0.0132
k12_pop,0.0543,-0.0601,0.0486,0.0548,-0.0393,1,-0.987,0.286,-0.0137,-0.0977,0.101,0.0238,-0.0189,0.00908,nan,0.0168
beta_k12_WEIGHT,-0.0379,0.0251,-0.0208,-0.00859,0.00825,-0.987,1,-0.386,0.0449,0.0977,-0.106,-0.0223,0.0145,-0.0279,nan,-0.0132
beta_k12_SEX_M,0.0312,0.128,-0.202,-0.102,0.186,0.286,-0.386,1,-0.022,-0.0299,0.0227,-0.00221,-0.00192,-0.166,nan,0.0651
k21_pop,0.104,-0.158,0.0664,0.508,-0.194,-0.0137,0.0449,-0.022,1,0.00738,-0.0449,0.00916,-0.0285,-0.0469,nan,-0.0338
omega_Tk0,-0.162,0.0182,-0.0364,0.0148,-0.0135,-0.0977,0.0977,-0.0299,0.00738,1,0.213,0.196,-0.0333,-0.0399,nan,-0.000625
corr_V_Tk0,-0.00659,-0.0477,0.0806,-0.0369,0.00205,0.101,-0.106,0.0227,-0.0449,0.213,1,0.254,0.0412,0.0975,nan,0.000152
omega_V,0.0117,-0.0302,0.0651,0.0082,-0.0115,0.0238,-0.0223,-0.00221,0.00916,0.196,0.254,1,0.0565,-0.015,nan,-0.0394
omega_k,-0.0203,0.00942,0.00995,-0.079,0.00994,-0.0189,0.0145,-0.00192,-0.0285,-0.0333,0.0412,0.0565,1,0.1,nan,-0.11
omega_k12,-0.0572,0.0231,0.04,-0.0982,0.0183,0.00908,-0.0279,-0.166,-0.0469,-0.0399,0.0975,-0.015,0.1,1,nan,-0.238
a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
b,-0.00597,0.0201,-0.0183,-0.000591,0.0132,0.0168,-0.0132,0.0651,-0.0338,-0.000625,0.000152,-0.0394,-0.11,-0.238,nan,1
