parameter,value,se_sa,rse_sa
Tk0_pop,0.862059401697594,0.0871078351487687,10.1046209782334
V_pop,0.551121381548288,0.0500661741227945,9.08441875039244
beta_V_SEX_M,0.814108701150912,0.115393724834543,14.1742404511106
k_pop,0.320925705493501,0.0167251863854245,5.21154463451456
beta_k_SEX_M,-0.154593250104318,0.0596255517292655,38.5693112015115
k12_pop,0.0352489334579422,0.0173562167278882,49.2389840634386
beta_k12_SEX_M,-0.803084926280517,0.121871189793375,15.1753800632046
beta_k12_WEIGHT,0.0234393693443897,0.00751225923511941,32.0497498236551
k21_pop,0.0876770906992405,0.00820303865393365,9.35596583841109
omega_Tk0,0.399424160068269,0.0810856020154611,20.3006252805544
omega_V,0.260551553920807,0.0468183844135639,17.9689522894935
omega_k,0.102179116598022,0.0229756861236108,22.4856965773136
omega_k12,0.159339311487214,0.0742423450557551,46.5938658594696
corr_V_Tk0,0.556114520419452,0.184800413719894,33.2306399013835
a,2.22044604925031e-16,nan,nan
b,0.164251966013376,0.00810628051206796,4.93527152753096
