Tk0_pop,1,0.303,-0.0195,0.0814,0.0126,0.0416,-0.03,0.0351,0.0782,-0.13,-0.00588,-0.0244,-0.0229,-0.0479,0.00208
V_pop,0.303,1,-0.705,-0.281,0.226,-0.0602,0.0273,0.126,-0.117,-0.00044,-0.0649,-0.0104,-0.0162,0.0215,0.0512
beta_V_SEX_M,-0.0195,-0.705,1,0.184,-0.281,0.0292,-0.00348,-0.205,0.00172,-0.0135,0.106,0.0308,0.0633,0.0185,-0.0355
k_pop,0.0814,-0.281,0.184,1,-0.717,0.0443,-0.00251,-0.0991,0.463,0.0363,-0.0304,-0.0298,-0.0594,-0.0512,-0.0379
beta_k_SEX_M,0.0126,0.226,-0.281,-0.717,1,-0.0187,-0.00974,0.19,-0.132,-0.0253,0.00504,-0.00627,-0.00591,0.0185,0.0362
k12_pop,0.0416,-0.0602,0.0292,0.0443,-0.0187,1,-0.987,0.308,-0.0401,-0.059,0.077,0.0184,-0.0355,-0.142,0.0461
beta_k12_WEIGHT,-0.03,0.0273,-0.00348,-0.00251,-0.00974,-0.987,1,-0.409,0.065,0.0594,-0.0778,-0.0194,0.0347,0.133,-0.0518
beta_k12_SEX_M,0.0351,0.126,-0.205,-0.0991,0.19,0.308,-0.409,1,-0.00308,-0.00441,-0.0042,-0.00946,-0.0293,-0.186,0.0652
k21_pop,0.0782,-0.117,0.00172,0.463,-0.132,-0.0401,0.065,-0.00308,1,0.0198,-0.0575,-0.0244,-0.0326,0.00191,-0.0354
omega_Tk0,-0.13,-0.00044,-0.0135,0.0363,-0.0253,-0.059,0.0594,-0.00441,0.0198,1,0.226,0.212,-0.0646,-0.0109,-0.0222
corr_V_Tk0,-0.00588,-0.0649,0.106,-0.0304,0.00504,0.077,-0.0778,-0.0042,-0.0575,0.226,1,0.241,0.0178,0.0396,0.0302
omega_V,-0.0244,-0.0104,0.0308,-0.0298,-0.00627,0.0184,-0.0194,-0.00946,-0.0244,0.212,0.241,1,0.105,-0.00169,-0.0618
omega_k,-0.0229,-0.0162,0.0633,-0.0594,-0.00591,-0.0355,0.0347,-0.0293,-0.0326,-0.0646,0.0178,0.105,1,0.0185,-0.11
omega_k12,-0.0479,0.0215,0.0185,-0.0512,0.0185,-0.142,0.133,-0.186,0.00191,-0.0109,0.0396,-0.00169,0.0185,1,-0.123
b,0.00208,0.0512,-0.0355,-0.0379,0.0362,0.0461,-0.0518,0.0652,-0.0354,-0.0222,0.0302,-0.0618,-0.11,-0.123,1
