parameter,value,se_sa,rse_sa
Tk0_pop,0.870557916904844,0.0860735414016247,9.88717002398279
V_pop,0.551857414239933,0.0492672793297898,8.92753781294124
beta_V_SEX_M,0.80021683065222,0.113542166449485,14.1889250638407
k_pop,0.322484649336552,0.0163671473831123,5.07532604010283
beta_k_SEX_M,-0.148395685686448,0.0600961491849229,40.4972347456938
k12_pop,0.0375085910268485,0.0192025407010396,51.1950467222151
beta_k12_SEX_M,-0.794600722737613,0.12724022401423,16.013101973511
beta_k12_WEIGHT,0.0225645144097298,0.00774176564959904,34.3094715402376
k21_pop,0.0896102677425522,0.00798641671962616,8.91239019904607
omega_Tk0,0.397565914738297,0.0790623810800357,19.8866095279017
omega_V,0.258615410535316,0.0471648546046996,18.2374493875178
omega_k,0.103390798480189,0.0236033333764388,22.8292398582853
omega_k12,0.171530312157316,0.0553872011019161,32.2900369067823
corr_V_Tk0,0.571264618147761,0.182039824963719,31.8661123375635
b,0.163869806990745,0.00793530950432841,4.84244758082652
